"","Date","Contributor","Address","City","State","Zip","Occupation","Employer","Principal Officer","Amount","CPF ID","Recipient","Tender Type ID","Tender Type Description","Record Type ID","Record Type Description","Source Description","Year","Question","Category_PID"
"30","8/3/2022","ATLANTIC MANAGEMENT CORP","205 NEWBURY ST.","FRAMINGHAM","MA","01701",NA,NA,NA,10000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"31","8/3/2022","PATHWAY ADVISORS LLC","145 WOOD RD.","BRAINTREE","MA","02184",NA,NA,NA,500,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"32","7/21/2022","DAVIS MANAGEMENT CO LLC","125 HIGH ST.  STE 2111","BOSTON","MA","02110",NA,NA,NA,25000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"33","7/18/2022","SUFFOLK CONSTRUCTION CO INC","65 ALLERTON ST.","BOSTON","MA","02119",NA,NA,NA,1010000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"34","7/15/2022","FORTY FOUR HUNDRED LLC","116 FLANDERS RD SUITE 2000","WESTBOROUGH","MA","01581",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"35","7/14/2022","J DERENZO COMPANY","338 HOWARD ST","BROCKTON","MA","02302",NA,NA,NA,250000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"36","6/24/2022","MCBG HOLDINGS, LLC","A REGISTERED AGENT, INC. 8 THE GREEN STE A","DOVER","DE","19901",NA,NA,NA,5000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"37","5/16/2022","PPI ASSOCIATES LLC","17 YARMOUTH RD PO BOX 67264","CHESTNUT HILL","MA","02467",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"38","5/16/2022","RAND-WHITNEY CONTAINERBOARD","370 ROUTE 163","MONTVILLE","CT","06353",NA,NA,NA,1e+06,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"39","5/13/2022","ABP TRUST","255 WASHINGTON ST.","NEWTON","MA","02458",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"40","5/10/2022","ABP TRUST","255 Washington St.","Newton","MA","02456",NA,NA,NA,10950.04,95487,"Coalition to Stop the Tax Hike Amendment",0,NA,405,"Corporate Inkind Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"41","5/3/2022","LOCAL WELL LLC","31 ST. JAMES AVE. STE 740","BOSTON","MA","02111",NA,NA,NA,25000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"42","3/28/2022","FORTY FOUR HUNDRED LLC","116 FLANDERS RD SUITE 2000","WESTBOROUGH","MA","01581",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"43","1/24/2022","FORTY FOUR HUNDRED LLC","116 FLANDERS RD SUITE 2000","WESTBOROUGH","MA","01581",NA,NA,NA,50000,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"44","1/14/2022","SVB LEERINK LLC","53 STATE ST. 40TH FLOOR","BOSTON","MA","02109",NA,NA,NA,1e+05,95487,"Coalition to Stop the Tax Hike Amendment",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q1 2022","Corporate"
"45","12/16/2021","MASSACHUSETTS HIGH TECHNOLOGY COUNCIL INC.","2400 DISTRICT AVE #110","Burlington","MA","01803",NA,NA,NA,2211,95487,"Coalition to Stop the Tax Hike Amendment",0,NA,405,"Corporate Inkind Contribution","2021 Year-end Report","2022","Q1 2022","Corporate"
"46","11/7/2022","Omidyar Network Services LLC","191 Broadway St","Redwood City","CA","94063",NA,NA,NA,150000,95463,"Fair Share Massachusetts",0,"Not Specified",211,"Business Contribution","2022 Nov 20th Report","2022","Q1 2022","Corporate"
"47","11/1/2022","Wah Lum Kung Fu & Tai Chi Academy","124 Ferry St","Malden","MA","02148",NA,NA,NA,800,95463,"Fair Share Massachusetts",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q1 2022","Corporate"
"48","10/12/2022","Chick Montana Group LLC","202 Bonham Rd","Dedham","MA","02026",NA,NA,NA,1000,95463,"Fair Share Massachusetts",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"49","10/11/2022","Crawford Strategies","23 Sutherland Rd","Arlington","MA","02474",NA,NA,NA,1000,95463,"Fair Share Massachusetts",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q1 2022","Corporate"
"50","10/25/2021","Omidyar Network Services LLC","191 Broadway St","Redwood City","CA","94063",NA,NA,NA,1e+05,95463,"Raise Up Massachusetts 2022",0,"Not Specified",211,"Business Contribution","2021 Year-end Report","2022","Q1 2022","Corporate"
"51","11/4/2022","Heartland Dental","1200 Network Centre Dr","Effingham","IL","62401",NA,NA,NA,25000,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"52","10/28/2022","Deborah S. Bishop, DMD PC","2227 Drake Ave Sw Ste 7-c","Huntsville","AL","35805",NA,NA,NA,2000,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"53","10/4/2022","New Hampshire Dental Society","23 South State Street","Concord","NH","03301","Dental Society",NA,"Michael Auerbach",20000,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"54","9/26/2022","Eastern Dentists Insurance Company","200 Friberg Parkway Suite 2002","Westborough","MA","01581",NA,NA,NA,5000,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"55","9/22/2022","Barrington Family Dental, PC","2302 Gar Hwy","Swansea","MA","02777",NA,NA,NA,250,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"56","9/19/2022","Paul J.R. Gamache DMD, P.C.","137 Elm St.","Pittsfield","MA","01201",NA,NA,NA,250,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"57","9/8/2022","James W. Skillings DDS P.C.","15 Central Street","Andover","MA","01810",NA,NA,NA,200,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Sept 20th Report","2022","Q2 2022","Corporate"
"58","9/8/2022","South Shore Oral Surgery Associates Inc.","270 Quincy Avenue","Quincy","MA","02169",NA,NA,NA,1000,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Sept 20th Report","2022","Q2 2022","Corporate"
"59","9/8/2022","Wych Family Dental, P.C.","1 Plummers Corner, Suite 103","Whitinsville","MA","01588",NA,NA,NA,200,95494,"Massachusetts Dental Care Providers for Better Dental Benefits",0,"Not Specified",211,"Business Contribution","2022 Sept 20th Report","2022","Q2 2022","Corporate"
"60","11/2/2022","AMERICAN COUNCIL OF LIFE INSURERS","101 Constitution Ave. Nw","Washington","DC","20004",NA,NA,NA,126272,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"61","11/2/2022","AMERICAN COUNCIL OF LIFE INSURERS","101 Constitution Ave. Nw","Washington","DC","20004",NA,NA,NA,252,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"62","11/2/2022","METROPOLITAN LIFE INSURANCE COMPANY","200 Park Avenue","New York","NY","10166",NA,NA,NA,168,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"63","11/2/2022","PRINCIPAL LIFE INSURANCE COMPANY","711 High Street","Des Moines","IA","50392",NA,NA,NA,32.5,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"64","11/2/2022","UNITED CONCORDIA COMPANIES, INC.","1800 Center Street, 2b/l3","Camp Hill","PA","17011",NA,NA,NA,631.89,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"65","11/1/2022","AMERICAN COUNCIL OF LIFE INSURERS","101 CONSTITUTION AVE. NW","WASHINGTON","DC","20004",NA,NA,NA,35175,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"66","11/1/2022","AMERICAN COUNCIL OF LIFE INSURERS","101 CONSTITUTION AVE. NW","WASHINGTON","DC","20004",NA,NA,NA,1578.06,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"67","11/1/2022","METROPOLITAN LIFE INSURANCE COMPANY","200 PARK AVENUE","NEW YORK","NY","10166",NA,NA,NA,402,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"68","11/1/2022","PRINCIPAL LIFE INSURANCE COMPANY","711 High Street","Des Moines","IA","50392",NA,NA,NA,458.75,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"69","11/1/2022","THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA","10 HUDSON YARDS","NEW YORK","NY","10001",NA,NA,NA,2857,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"70","10/24/2022","UNITED CONCORDIA COMPANIES INC","1800 Center Street, 2b/l3","Camp Hill","PA","17011",NA,NA,NA,250000,95501,"Committee For Competitive Dental Plans for Consumers",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"71","10/15/2022","AMERICAN COUNCIL OF LIFE INSURERS","101 CONSTITUTION AVE. NW","WASHINGTON","DC","20004",NA,NA,NA,1178.81,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"72","10/15/2022","AMERICAN COUNCIL OF LIFE INSURERS","101 CONSTITUTION AVE. NW","WASHINGTON","DC","20004",NA,NA,NA,3553,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"73","10/15/2022","METROPOLITAN LIFE INSURANCE COMPANY","200 PARK AVENUE","NEW YORK","NY","10166",NA,NA,NA,8032,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"74","10/15/2022","PRINCIPAL LIFE INSURANCE CO","711 HIGH STREET","DES MOINES","IA","50392",NA,NA,NA,361,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"75","10/15/2022","THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA","10 HUDSON YARDS","NEW YORK","NY","10001",NA,NA,NA,4472,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"76","10/5/2022","THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA","10 HUDSON YARDS","NEW YORK","NY","10001",NA,NA,NA,5e+05,95501,"Committee For Competitive Dental Plans for Consumers",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"77","10/4/2022","PRINCIPAL LIFE INSURANCE CO","711 HIGH STREET","DES MOINES","IA","50392",NA,NA,NA,580000,95501,"Committee For Competitive Dental Plans for Consumers",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"78","9/30/2022","METROPOLITAN LIFE INSURANCE COMPANY","200 PARK AVENUE","NEW YORK","NY","10166",NA,NA,NA,350000,95501,"Committee For Competitive Dental Plans for Consumers",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"79","9/30/2022","METROPOLITAN LIFE INSURANCE COMPANY","200 PARK AVENUE","NEW YORK","NY","10166",NA,NA,NA,670,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"80","9/30/2022","PRINCIPAL LIFE INSURANCE COMPANY","711 HIGH STREET","DES MOINES","IA","50392",NA,NA,NA,870,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"81","9/30/2022","THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA","10 HUDSON YARDS","NEW YORK","NY","10001",NA,NA,NA,8773,95501,"Committee For Competitive Dental Plans for Consumers",0,NA,405,"Corporate Inkind Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"82","10/14/2022","Backbay Dental Design","811 Boylston St. #3","Boston","MA","02116",NA,NA,NA,1000,95485,"Committee on Dental Insurance Quality",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"83","10/11/2022","Darby Dental Supply, LLC","300 Jericho Quadrangle","Jericho","NY","11753",NA,NA,NA,10000,95485,"Committee on Dental Insurance Quality",0,"Not Specified",211,"Business Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"84","9/19/2022","Massachusetts Association of Orthodontists","386 Washington Street","Wellesley","MA","02481",NA,NA,NA,25000,95485,"Committee on Dental Insurance Quality",0,"Not Specified",211,"Business Contribution","2022 Oct 5th Report","2022","Q2 2022","Corporate"
"85","9/6/2022","Alliance of Independent Dentists - MASSACHUSETTS","77 Main Street","Hopkinton","MA","01748",NA,NA,NA,15000,95485,"Committee on Dental Insurance Quality",0,"Not Specified",211,"Business Contribution","2022 Sept 20th Report","2022","Q2 2022","Corporate"
"86","8/30/2022","Microcopy","3120 Moon Station Rd Nw","Kennesaw","GA","30156",NA,NA,NA,2500,95485,"Committee on Dental Insurance Quality",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q2 2022","Corporate"
"87","8/25/2022","G & H Orthodontics","40 Linville Way","Franklin","IN","46131",NA,NA,NA,5000,95485,"Committee on Dental Insurance Quality",0,"Not Specified",211,"Business Contribution","2022 60th Day Preceding Election Report","2022","Q2 2022","Corporate"
"88","11/15/2022","Dental Service of Massachusetts, Inc.","465 Medford St #150","Boston","MA","02129",NA,NA,NA,692.7,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"89","11/15/2022","Metropolitan Life Insurance Company","18210 Crane Nest Drive","Tampa","FL","33647",NA,NA,NA,402,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"90","11/15/2022","Principal Life Insurance Company","711 High St.","Des Moines","IA","50392",NA,NA,NA,217,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Nov 20th Report","2022","Q2 2022","Corporate"
"91","11/1/2022","Dental Service of Massachusetts, Inc.","465 Medford St #150","Boston","MA","02129",NA,NA,NA,639.42,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"92","11/1/2022","Metropolitan Life Insurance Company","18210 Crane Nest Drive","Tampa","FL","33647",NA,NA,NA,670,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"93","11/1/2022","Principal Life Insurance Company","711 High St.","Des Moines","IA","50392",NA,NA,NA,653.75,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"94","10/24/2022","Metropolitan Life Insurance Company","18210 Crane Nest Drive","Tampa","FL","33647",NA,NA,NA,1e+05,95489,"Committee to Protect Access to Quality Dental Care",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"95","10/18/2022","Dental Service of Massachusetts","465 Medford Street","Boston","MA","02129",NA,NA,NA,5e+05,95489,"Committee to Protect Access to Quality Dental Care",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"96","10/17/2022","Delta Dental Plan Association","1515 W 22nd Street Suite 450","Oak Brook","IL","60523",NA,NA,NA,795000,95489,"Committee to Protect Access to Quality Dental Care",0,"Not Specified",211,"Business Contribution","2022 Nov 5th Report","2022","Q2 2022","Corporate"
"97","10/15/2022","Dental Service of Massachusetts, Inc.","465 Medford Street #150","Boston","MA","02129",NA,NA,NA,692.7,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"98","10/15/2022","Metropolitan Life Insurance Company","18210 Crane Nest Drive","Tampa","FL","33647",NA,NA,NA,670,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"99","10/15/2022","Principal Life Insurance Company","711 High St.","Des Moines","IA","50392",NA,NA,NA,852,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
"100","10/15/2022","Sun Life Financial","One Sun Life Executive Park","Wellesley Hills","MA","02481",NA,NA,NA,692,95489,"Committee to Protect Access to Quality Dental Care",0,NA,405,"Corporate Inkind Contribution","2022 Oct 20th Report","2022","Q2 2022","Corporate"
